SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
57,4.5,BLK 210 TO 215 LORONG 8 TOA PAYOH,TP52,30361.63,35951.68,SURFACE CAR PARK
58,2.15,BLK 796A WOODLANDS DRIVE 72,W73,24711.6693,47219.5233,MULTI-STOREY CAR PARK
59,4.5,BLK 830/840 TAMPINES STREET 82,T44,39357.5533,36980.6496,SURFACE CAR PARK
60,0,BLK 156/160 TAMPINES STREET 12,T12,40513.9859,37022.0319,SURFACE CAR PARK
61,4.5,BLKS 526-534 BUKIT BATOK STREET 51,U31,18847.0784,37666.2614,SURFACE CAR PARK
62,2,BLK 736A PASIR RIS DRIVE 10,PM38,39565.4411,40102.7854,MULTI-STOREY CAR PARK
63,4.5,BLK 105-107 JALAN BUKIT MERAH,TE2,27083.1099,29159.4607,SURFACE CAR PARK
64,4.5,3 AND 5 DOVER ROAD,AR1L,22359.0217,31801.6379,SURFACE CAR PARK
65,4.5,BLK 426/428/435 ANG MO KIO STREET 43,A35,30310.66,38963.49,SURFACE CAR PARK
66,4.5,BLK 436/443/445 ANG MO KIO STREET 43,A36,30443.9088,38715.8847,SURFACE CAR PARK
67,3.8,BLK 49 TO 54 TEBAN GARDENS,TG2,17347.6784,33758.6936,SURFACE CAR PARK
68,0,BLK 684/685 RACE COURSE ROAD,BKE4,30617.8164,32970.7734,SURFACE CAR PARK
69,2.15,BLK 366A TAMPINES STREET 34,TM20,42211.8682,37802.4125,MULTI-STOREY CAR PARK
70,2.15,BLK 306 ANCHORVALE LINK,SK40,34130.2215,41374.1249,MULTI-STOREY CAR PARK
71,2.15,BLK 325 SENGKANG EAST WAY,SK51,34472.1598,41724.1866,MULTI-STOREY CAR PARK
72,2.15,BLK 37A CAMBRIDGE ROAD,KJM1,29722.4759,33152.4737,MULTI-STOREY CAR PARK
73,0,BLK 501-505 WEST COAST DRIVE,C29,19754.8437,32767.8945,SURFACE CAR PARK
74,4.5,BLK 187-197 BISHAN STREET 13,BE12,29963.6285,36903.1662,SURFACE CAR PARK
75,2.15,BLK 203 COMPASSVALE ROAD,SK28,34964.5908,40993.9848,MULTI-STOREY CAR PARK
76,2.15,BLK 655 JURONG WEST STREET 61,JM24,12947.1123,35275.2364,MULTI-STOREY CAR PARK
77,0,BLK 507A WELLINGTON CIRCLE,S24L,26930.1313,48308.6929,SURFACE CAR PARK
78,0,BLK 489 ADMIRALTY LINK,S28L,26156.746,48492.1384,SURFACE CAR PARK
79,2.15,BLK 355 UBI ROAD 3,KUM1,35319.8966,34382.6444,MULTI-STOREY CAR PARK
80,2.15,BLK 357 UBI ROAD 3,KUM2,35281.6557,34583.8609,MULTI-STOREY CAR PARK
81,2.15,BLK 637 TAMPINES STREET 62,NT11,40340.3893,38418.7633,MULTI-STOREY CAR PARK
82,2.15,BLK 660 TAMPINES STREET 64,NT13,39215.9628,38841.7874,MULTI-STOREY CAR PARK
83,2.15,BLK 347 YISHUN AVENUE 11,Y45M,29036.205,45471.5063,MULTI-STOREY CAR PARK
84,2.15,BLK 159A HOUGANG STREET 11,HG76,33136.5776,37096.1058,MULTI-STOREY CAR PARK
85,2.15,BLK 373A HOUGANG STREET 31,HG92,34311.515,38261.6987,MULTI-STOREY CAR PARK
86,2,BLK 671A JALAN DAMAI,B74,36428.7057,35005.0793,MULTI-STOREY CAR PARK
87,0,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,B43,38492.9294,34812.5657,SURFACE CAR PARK
88,2,BLK 49A WHAMPOA SOUTH,KB20,31686.3712,33999.0332,MULTI-STOREY CAR PARK
89,2.15,BLK 966A HOUGANG AVENUE 9,HG90,32955.07,39984.6887,MULTI-STOREY CAR PARK
90,2.15,BLK 181 MARSILING ROAD,W181,21988.2079,46815.199,MULTI-STOREY CAR PARK
91,2.15,BLK 430 FERNVALE LINK,SK85,32987.7264,41793.5661,MULTI-STOREY CAR PARK
92,4.5,BLK 82A/83 MACPHERSON LANE,M28,33769.1354,34814.6793,SURFACE CAR PARK
93,4.5,BLK 223/226 YISHUN STREET 21,Y14A,28246.3185,46249.5229,SURFACE CAR PARK
94,4.5,BLK 255/264 TAMPINES STREET 21,T29,41092.9461,37347.4683,SURFACE CAR PARK
95,2.15,BLK 89A DAWSON ROAD,DWST,25626.2862,30840.6986,MULTI-STOREY CAR PARK
96,0,"BLK 991A TO 991B,992A TO 992B BUANGKOK LINK",H3BL,33444.3288,40713.4165,SURFACE CAR PARK
